neighborhood,home_type,predicted_price
Battery Park,MultiFamily2To4,1457620.15668
Battery Park,Apartment - 1 bedrooms,1565486.12185
Battery Park,Condominium,2006686.2381
Battery Park,SingleFamily,955404.814286
Carnegie Hill,MultiFamily2To4,3571884.18571
Carnegie Hill,Apartment - 1 bedrooms,1538474.77143
Carnegie Hill,Cooperative,7489746.3381
Carnegie Hill,Condominium,2750870.08435
Carnegie Hill,SingleFamily,9142016.55714
Carnegie Hill,Duplex,8184986.25714
Carnegie Hill,Townhouse,8557593.12857
Carnegie Hill,Quadruplex,9609107.65714
Carnegie Hill,Triplex,9566547.94286
Carnegie Hill,Miscellaneous,11169449.8714
Central Park,MultiFamily2To4,1990762.31429
Central Park,Cooperative,4298403.12857
Central Park,Condominium,7927375.61429
Chelsea,MultiFamily2To4,3241757.8928
Chelsea,Apartment - 1 bedrooms,1191225.26218
Chelsea,Cooperative,8506749.98571
Chelsea,Unknown,1656808.67475
Chelsea,Condominium,6465119.92857
Chelsea,SingleFamily,8587466.62857
Chelsea,Duplex,7570948.94286
Chelsea,Townhouse,9932924.2
Chelsea,Quadruplex,8130461.12857
Chelsea,MultiFamily5Plus,2731025.08022
Chelsea,Triplex,7827128.61429
Chinatown,MultiFamily2To4,1930958.15201
Chinatown,Apartment - 1 bedrooms,1547957.23281
Chinatown,Unknown,2045149.22542
Chinatown,Condominium,2061101.88078
Chinatown,SingleFamily,8816099.07143
Chinatown,Townhouse,3834512.66905
Clinton,MultiFamily2To4,1686155.63865
Clinton,Apartment - 1 bedrooms,1089088.44198
Clinton,Cooperative,8175981.18254
Clinton,Unknown,1877241.81253
Clinton,Condominium,3020577.35714
Clinton,SingleFamily,8067813.43048
Clinton,Duplex,8983478.125
Clinton,Townhouse,4658191.2
Clinton,Quadruplex,7529228.51429
Clinton,MultiFamily5Plus,1279778.50189
Clinton,Triplex,8677606.77143
East Harlem,MultiFamily2To4,3505911.24405
East Harlem,Cooperative,5569696.48571
East Harlem,Condominium,5702421.32857
East Harlem,SingleFamily,3476446.64286
East Harlem,Duplex,2827567.036
East Harlem,Townhouse,3455099.48571
East Harlem,Quadruplex,2869204.05714
East Harlem,Triplex,5804391.6
East Village,MultiFamily2To4,1678786.80944
East Village,Apartment - 1 bedrooms,1187683.06346
East Village,Cooperative,7722244.15476
East Village,Unknown,1206579.97377
East Village,Condominium,1735489.49967
East Village,SingleFamily,7843643.89524
East Village,Duplex,7673036.25714
East Village,Townhouse,5126598.62857
East Village,Quadruplex,7387702.17143
East Village,Triplex,8788901.04286
East Village,Miscellaneous,2113280.65714
