neighborhood,home_type,predicted_price
Battery Park,MultiFamily2To4,1751425.12222
Battery Park,Apartment - 1 bedrooms,1658799.46667
Battery Park,Condominium,1765280.41111
Battery Park,SingleFamily,617633.544444
Carnegie Hill,MultiFamily2To4,3586152.26667
Carnegie Hill,Apartment - 1 bedrooms,1686254.16667
Carnegie Hill,Cooperative,7247920.91111
Carnegie Hill,Condominium,2716106.1663
Carnegie Hill,SingleFamily,9005849.94444
Carnegie Hill,Duplex,8228979.43333
Carnegie Hill,Townhouse,8411961.64444
Carnegie Hill,Quadruplex,8933053.84444
Carnegie Hill,Triplex,9195333.46667
Carnegie Hill,Miscellaneous,10302735.5111
Central Park,MultiFamily2To4,2096999.24444
Central Park,Cooperative,4542613.08889
Central Park,Condominium,7695169.98889
Chelsea,MultiFamily2To4,3418586.45127
Chelsea,Apartment - 1 bedrooms,1269149.31111
Chelsea,Cooperative,8547304.27778
Chelsea,Unknown,1642443.94444
Chelsea,Condominium,6621756.5
Chelsea,SingleFamily,8628400.02222
Chelsea,Duplex,7634419.54444
Chelsea,Townhouse,9744691.2
Chelsea,Quadruplex,8618445.43333
Chelsea,MultiFamily5Plus,2631844.13333
Chelsea,Triplex,7786302.84444
Chinatown,MultiFamily2To4,1716008.75
Chinatown,Apartment - 1 bedrooms,1455354.94444
Chinatown,Unknown,1915974.18889
Chinatown,Condominium,2120754.37778
Chinatown,SingleFamily,8814864.96667
Chinatown,Townhouse,3552203.91111
Clinton,MultiFamily2To4,1517693.6
Clinton,Apartment - 1 bedrooms,1103623.66667
Clinton,Cooperative,8145096.5
Clinton,Unknown,1769293.86667
Clinton,Condominium,3191140.73333
Clinton,SingleFamily,7684925.9
Clinton,Duplex,9243080.07778
Clinton,Townhouse,4864449.37778
Clinton,Quadruplex,7699346.73333
Clinton,MultiFamily5Plus,1252937.51111
Clinton,Triplex,8638835.0
East Harlem,MultiFamily2To4,3621002.91111
East Harlem,Cooperative,5479485.6
East Harlem,Condominium,5541530.75556
East Harlem,SingleFamily,3417212.84444
East Harlem,Duplex,2738948.78889
East Harlem,Townhouse,3218892.5
East Harlem,Quadruplex,3049931.58889
East Harlem,Triplex,5415156.13333
East Village,MultiFamily2To4,1578898.73889
East Village,Apartment - 1 bedrooms,1257226.45556
East Village,Cooperative,7765662.21111
East Village,Unknown,1249597.43333
East Village,Condominium,2056254.54444
East Village,SingleFamily,7834697.98889
East Village,Duplex,7674402.67778
East Village,Townhouse,5255774.67778
East Village,Quadruplex,7324519.81111
East Village,Triplex,8743798.65556
East Village,Miscellaneous,2144101.93333
Financial District,MultiFamily2To4,2347253.53333
Financial District,Apartment - 1 bedrooms,1774995.87778
Financial District,Cooperative,1682729.91111
Financial District,Condominium,2961911.83333
Financial District,SingleFamily,13508420.3444
Financial District,Duplex,18852183.2
Financial District,Townhouse,8384633.2
Financial District,Triplex,12129972.5444
Financial District,Miscellaneous,5702628.06667
Garment District,MultiFamily2To4,2198985.85556
Garment District,Cooperative,10727085.3444
Garment District,Condominium,7527038.98889
Garment District,SingleFamily,9293415.88889
Gramercy,MultiFamily2To4,7495105.52222
Gramercy,Apartment - 1 bedrooms,752500.131481
Gramercy,Cooperative,9876703.91111
Gramercy,Unknown,12691214.9111
Gramercy,Condominium,5800655.55556
Gramercy,SingleFamily,7493156.53333
Gramercy,Duplex,8103422.0
Gramercy,Townhouse,9713177.11111
